Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Visit page,100,11,2,70,20.38,0.000%,109.52903,221.09,15.83,2067.0
Login,100,2596,1031,3154,419.62,0.000%,25.49070,171.14,5.92,6875.0
api/device/ids,100,2132,1585,2876,261.40,0.000%,20.24291,11.49,7.59,581.0
api/device,100,3082,1930,8521,1145.40,0.000%,9.45626,43.78,3.51,4741.0
api/device-logs,100,22188,4840,31597,6823.01,0.000%,2.83390,1082.60,1.06,391185.0
TOTAL,500,6002,2,31597,8730.23,0.000%,12.10947,958.94,3.63,81089.8
