Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
\login,100,527,633,784,853,902,126,919,0.000%,54.67469,367.35,12.87
TOTAL,100,527,633,784,853,902,126,919,0.000%,54.67469,367.35,12.87
