Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
\login,100,527,126,919,235.74,0.000%,54.67469,367.35,12.87,6880.0
TOTAL,100,527,126,919,235.74,0.000%,54.67469,367.35,12.87,6880.0
