Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
\login,100,1615,176,2449,597.01,0.000%,30.96934,16.48,7.29,545.0
TOTAL,100,1615,176,2449,597.01,0.000%,30.96934,16.48,7.29,545.0
