Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
\login,100,1615,1725,2265,2309,2412,176,2449,0.000%,30.96934,16.48,7.29
TOTAL,100,1615,1725,2265,2309,2412,176,2449,0.000%,30.96934,16.48,7.29
